Grupo;Nome curto;Nome completo;Naturalidade;Etnia;Nascimento;Falecimento;Idade em 1992;Filiação;Cargo / função;Alcunha(s);Estatuto na trama (1992);Notas
UNITA — o «Galo Negro»;Savimbi;Jonas Malheiro Sidónio Sakaita Savimbi;Munhango, Bié;Ovimbundu;3 ago 1934;22 fev 2002 (ficção: fim de 1992);58;UNITA;"Fundador e Presidente da UNITA; comandante-em-chefe das FALA";«Mani Mais Velho», «Presidente», «General Savimbi»;Vivo (morre no final de 1992);"Protagonista da facção; morte antecipada por decisão de autor (Nota 001)"
UNITA — o «Galo Negro»;Ben-Ben;Arlindo Chenda Isaac Pena;Caricoque, Andulo (Bié);Ovimbundu;17 nov 1955;19 out 1998;36;UNITA;Chefe do Estado-Maior das FALA;«Ben-Ben»;Vivo;"Sobrinho de Savimbi (filho de Judith Savimbi Pena); 37 anos a partir de 17 nov 1992"
UNITA — o «Galo Negro»;Chitunda;Jeremias Kalandula Chitunda;Angola;Ovimbundu;20 fev 1942;2 nov 1992;50;UNITA;"Vice-presidente da UNITA; negociador da 2ª volta";—;Morre em nov 1992;Assassinado no «massacre do Halloween», em Luanda
UNITA — o «Galo Negro»;Salupeto Pena;Elias Salupeto Pena;Bié (est.);Ovimbundu;c. ? (~1950);1 nov 1992;~40 (est.);UNITA;"Chefe da delegação da UNITA à CCPM; conselheiro de Savimbi";—;Morre em nov 1992;"Parente/sobrinho de Savimbi; torturado até à morte em Sambizanga. Data de nascimento por confirmar"
UNITA — o «Galo Negro»;Dembo;António Sebastião Dembo;Uíge (região dos Dembos);Mbundu (Dembo);1944;25 fev 2002;48;UNITA;"General; vice-presidente da UNITA (desde 1992)";—;Vivo;"Sucede a Chitunda; origem não-ovimbundu, invulgar na cúpula"
UNITA — o «Galo Negro»;Manuvakola;Eugénio Antonino Ngolo «Manuvakola»;Bocoio, Benguela;Ovimbundu;7 jun 1947;vivo;45;UNITA (depois UNITA Renovada);Secretário-geral da UNITA (desde 1992);«Manuvakola»;Vivo;"Assina o Protocolo de Lusaka (1994); funda a UNITA Renovada em 1998"
UNITA — o «Galo Negro»;Gato;Armindo Paulo Lukamba «Gato»;Bailundo, Huambo;Ovimbundu;18 mai 1954;vivo;38;UNITA;"General; futuro secretário-geral (1995) e líder interino (2002)";«Gato»;Vivo;Uma das figuras militares de referência do movimento
UNITA — o «Galo Negro»;Chivukuvuku;Abel Epalanga Chivukuvuku;Luvemba, Huambo;Ovimbundu;11 nov 1957;vivo;34;UNITA;"Quadro político / diplomata; negociador";—;Vivo;"35 anos a partir de 11 nov 1992; futuro chefe de bancada da UNITA"
UNITA — o «Galo Negro»;Valentim;Jorge Alicerces Valentim;Angola;Ovimbundu;c. ? (~1942);vivo;~50 (est.);UNITA;Dirigente e porta-voz histórico;—;Vivo;Futuro ministro no GURN. Data de nascimento por confirmar
MPLA — o poder de Luanda;Zédu;José Eduardo Van-Dúnem dos Santos;Luanda, Sambizanga;Ambundu (raízes são-tomenses);28 ago 1942;8 jul 2022;50;MPLA;Presidente de Angola e do MPLA;«Zédu», «JES»;Vivo;"Local de nascimento oficial: Luanda; rumor (não documentado) de S. Tomé — útil como tensão dramática"
Antecedentes históricos (falecidos antes de 1992);Agostinho Neto;António Agostinho Neto;Ícolo e Bengo;Ambundu;17 set 1922;10 set 1979;—;MPLA;1.º Presidente de Angola;—;Falecido (backstory);"Antecessor de Zédu; fundador do MPLA"
Antecedentes históricos (falecidos antes de 1992);Nito Alves;Alves Bernardo Baptista «Nito Alves»;Piri, Bengo;Ambundu;1945;1977;—;MPLA (nitista);Ex-ministro da Administração Interna;«Nito Alves»;Falecido (backstory);Líder da revolta de 27 de Maio de 1977
Antecedentes históricos (falecidos antes de 1992);Zé Van-Dúnem;José Jacinto da Silva Vieira Dias Van-Dúnem;Luanda;Ambundu;29 ago 1939;8 jul 1977;—;MPLA (nitista);"Membro do Comité Central; comissário político das FAPLA";«Filósofo»;Falecido (backstory);"Executado após o 27 de Maio; esposo de Sita Valles"
Antecedentes históricos (falecidos antes de 1992);Sita Valles;Sita Maria Valles;Angola (ascendência goesa);—;1951;1977;—;MPLA (nitista);Médica e militante;—;Falecido (backstory);Executada após o 27 de Maio de 1977
Antecedentes históricos (falecidos antes de 1992);Tito Chingunji;Tito Chingunji;Angola;Ovimbundu;c. 1955;nov 1991;—;UNITA;Secretário para as Relações Exteriores;—;Falecido (backstory);"Morto (com família) em purga interna; caso emblemático das purgas de Savimbi"
Antecedentes históricos (falecidos antes de 1992);Sangumba;Jorge Isaac Sangumba;Angola;Ovimbundu;c. ? (~1944);1982;—;UNITA;Secretário dos Negócios Estrangeiros;—;Falecido (backstory);Morte associada às purgas internas. Ano de nascimento por confirmar
